id,category,document_type,section,title,theme,theme_url,summary,date,date_iso,year,post_url,file_url,path,filename,language,source_list_url
avis_2026-03-13-09-58-15_cce20260750projetdeguiderelatifalapplicationdesreglesdeconcurrenceauxmarchespublics,avis,avis,concurrence,Marchés publics : Le guide de bonnes pratiques de l’ABC pour les acheteurs,Concurrence,https://www.ccecrb.fgov.be/c/fr/14/concurrence,"Le 5 mars 2026, la Commission consultative spéciale (CCS) « Concurrence » a adopté un avis portant sur le nouveau projet de guide de l’Autorité belge de la...",05/03/2026,2026-03-05,2026,https://www.ccecrb.fgov.be/p/fr/1361/marches-publics-le-guide-de-bonnes-pratiques-de-l-abc-pour-les-acheteurs,https://www.ccecrb.fgov.be/dpics/fichiers/2026-03-13-09-58-15_CCE20260750Projetdeguiderelatifàl’applicationdesrèglesdeconcurrenceauxmarchéspublics.pdf,avis/2026-03-13-09-58-15_CCE20260750Projetdeguiderelatifalapplicationdesreglesdeconcurrenceauxmarchespublics.pdf,2026-03-13-09-58-15_CCE20260750Projetdeguiderelatifalapplicationdesreglesdeconcurrenceauxmarchespublics.pdf,fr,https://www.ccecrb.fgov.be/type/fr/1/avis/2
avis_2026-03-02-03-18-30_doc260680fr,avis,avis,consommation,Adaptation de la réglementation sur les articles pyrotechniques,Pratiques du commerce,https://www.ccecrb.fgov.be/c/fr/16/pratiques-du-commerce,"Le 26 février 2026, la Commission consultative spéciale (CCS) « Consommation » a approuvé un avis concernant un projet d’arrêté royal qui...",26/02/2026,2026-02-26,2026,https://www.ccecrb.fgov.be/p/fr/1355/adaptation-de-la-reglementation-sur-les-articles-pyrotechniques,https://www.ccecrb.fgov.be/dpics/fichiers/2026-03-02-03-18-30_doc260680fr.pdf,avis/2026-03-02-03-18-30_doc260680fr.pdf,2026-03-02-03-18-30_doc260680fr.pdf,fr,https://www.ccecrb.fgov.be/type/fr/1/avis/2
avis_2026-02-24-04-41-54_doc260625fr,avis,avis,conseil central de l’économie,Étude prospective multi-vecteurs sur la sécurité d’approvisionnement en énergie,Énergie,https://www.ccecrb.fgov.be/c/fr/3/energie,"Conformément aux lois électricité et gaz qui encadrent la réalisation des études prospectives, la DG Énergie du SPF Économie a saisi le Conseil...",23/02/2026,2026-02-23,2026,https://www.ccecrb.fgov.be/p/fr/1353/etude-prospective-multi-vecteurs-sur-la-securite-d-approvisionnement-en-energie,https://www.ccecrb.fgov.be/dpics/fichiers/2026-02-24-04-41-54_doc260625fr.pdf,avis/2026-02-24-04-41-54_doc260625fr.pdf,2026-02-24-04-41-54_doc260625fr.pdf,fr,https://www.ccecrb.fgov.be/type/fr/1/avis/2
avis_2026-03-03-02-09-25_doc260690fr,avis,avis,Télécommunications,Budget du service de médiation pour les télécommunications 2026,Télécommunication,https://www.ccecrb.fgov.be/c/fr/35/telecommunication,"La Commission consultative spéciale (CCS) « Télécommunication » a approuvé, le 19 février 2026 en séance plénière, un avis...",19/02/2026,2026-02-19,2026,https://www.ccecrb.fgov.be/p/fr/1356/budget-du-service-de-mediation-pour-les-telecommunications-2026,https://www.ccecrb.fgov.be/dpics/fichiers/2026-03-03-02-09-25_doc260690fr.pdf,avis/2026-03-03-02-09-25_doc260690fr.pdf,2026-03-03-02-09-25_doc260690fr.pdf,fr,https://www.ccecrb.fgov.be/type/fr/1/avis/2
avis_2026-04-09-10-54-49_doc260630fr,avis,avis,Services Postaux et e-commerce,Projet de budget du Service de médiation pour le secteur postal,Services Postaux et e-commerce,https://www.ccecrb.fgov.be/c/fr/37/services-postaux-et-e-commerce,La Commission consultative spéciale (CCS) « Services postaux et e-commerce » a rendu le 17 février 2026 un avis sur le projet de budget 2026 du Service de médiation...,17/02/2026,2026-02-17,2026,https://www.ccecrb.fgov.be/p/fr/1376/projet-de-budget-du-service-de-mediation-pour-le-secteur-postal,https://www.ccecrb.fgov.be/dpics/fichiers/2026-04-09-10-54-49_doc260630fr.pdf,avis/2026-04-09-10-54-49_doc260630fr.pdf,2026-04-09-10-54-49_doc260630fr.pdf,fr,https://www.ccecrb.fgov.be/type/fr/1/avis/2
avis_2026-02-16-08-47-21_doc260480fr,avis,avis,conseil central de l’économie,La société à mission,Organisation de l'économie,https://www.ccecrb.fgov.be/c/fr/5/organisation-de-l-economie,"Le 12 février 2026, le Conseil central de l'économie a remis un avis sur une proposition de loi visant à inscrire la qualité de « société...",12/02/2026,2026-02-12,2026,https://www.ccecrb.fgov.be/p/fr/1344/la-societe-a-mission,https://www.ccecrb.fgov.be/dpics/fichiers/2026-02-16-08-47-21_doc260480fr.pdf,avis/2026-02-16-08-47-21_doc260480fr.pdf,2026-02-16-08-47-21_doc260480fr.pdf,fr,https://www.ccecrb.fgov.be/type/fr/1/avis/2
avis_2026-04-28-01-54-06_cce20260495avisdesuivisurlamiseenplaced_uncontroleefficientetefficacedesfluxdimportationresultantdelecommerce,avis,avis,Services Postaux et e-commerce,Un contrôle efficient et efficace des flux d’importation de l’e-commerce,Services Postaux et e-commerce,https://www.ccecrb.fgov.be/c/fr/37/services-postaux-et-e-commerce,"Les partenaires sociaux du secteur de la distribution, des services postaux et de l’e-commerce (CCS DIS et PEC), réunis au sein du Conseil central de l’économie (CCE),...",05/02/2026,2026-02-05,2026,https://www.ccecrb.fgov.be/p/fr/1354/un-controle-efficient-et-efficace-des-flux-d-importation-de-l-e-commerce,https://www.ccecrb.fgov.be/dpics/fichiers/2026-04-28-01-54-06_CCE20260495Avisdesuivisurlamiseenplaced'uncontrôleefficientetefficacedesfluxd’importationrésultantdel’ecommerce.pdf,avis/2026-04-28-01-54-06_CCE20260495Avisdesuivisurlamiseenplaced_uncontroleefficientetefficacedesfluxdimportationresultantdelecommerce.pdf,2026-04-28-01-54-06_CCE20260495Avisdesuivisurlamiseenplaced_uncontroleefficientetefficacedesfluxdimportationresultantdelecommerce.pdf,fr,https://www.ccecrb.fgov.be/type/fr/1/avis/2
avis_2026-02-18-03-07-26_doc260570fr,avis,avis,consommation,Règles visant à promouvoir la réparation des biens,Pratiques du commerce,https://www.ccecrb.fgov.be/c/fr/16/pratiques-du-commerce,"Le 31 juillet 2026, de nouvelles règles entreront en vigueur afin d'encourager les consommateurs à faire réparer les biens défectueux plutôt que de les...",04/02/2026,2026-02-04,2026,https://www.ccecrb.fgov.be/p/fr/1352/regles-visant-a-promouvoir-la-reparation-des-biens,https://www.ccecrb.fgov.be/dpics/fichiers/2026-02-18-03-07-26_doc260570fr.pdf,avis/2026-02-18-03-07-26_doc260570fr.pdf,2026-02-18-03-07-26_doc260570fr.pdf,fr,https://www.ccecrb.fgov.be/type/fr/1/avis/2
avis_2026-01-29-10-28-34_doc260270fr,avis,avis,conseil central de l’économie,Les prix des abonnements de la SNCB à partir du 1er février 2026,Mobilité,https://www.ccecrb.fgov.be/c/fr/4/mobilite,"Le 1er février 2026, la SNCB modifiera la structure tarifaire de ses abonnements domicile‑travail et augmentera les tarifs de ces abonnements. En prévision de cette augmentation...",27/01/2026,2026-01-27,2026,https://www.ccecrb.fgov.be/p/fr/1342/les-prix-des-abonnements-de-la-sncb-a-partir-du-1er-fevrier-2026,https://www.ccecrb.fgov.be/dpics/fichiers/2026-01-29-10-28-34_doc260270fr.pdf,avis/2026-01-29-10-28-34_doc260270fr.pdf,2026-01-29-10-28-34_doc260270fr.pdf,fr,https://www.ccecrb.fgov.be/type/fr/1/avis/2
avis_2026-01-22-03-16-04_doc260190fr,avis,avis,conseil central de l’économie,Appel pour un Plan d’action fédéral ambitieux pour l’économie circulaire,Emploi et compétitivité,https://www.ccecrb.fgov.be/c/fr/2/emploi-et-competitivite,"L’Europe est à un moment décisif. Notre modèle « extraire, produire, jeter » dépasse ses limites. Les crises successives, qu’elles soient...",21/01/2026,2026-01-21,2026,https://www.ccecrb.fgov.be/p/fr/1339/appel-pour-un-plan-d-action-federal-ambitieux-pour-l-economie-circulaire,https://www.ccecrb.fgov.be/dpics/fichiers/2026-01-22-03-16-04_doc260190fr.pdf,avis/2026-01-22-03-16-04_doc260190fr.pdf,2026-01-22-03-16-04_doc260190fr.pdf,fr,https://www.ccecrb.fgov.be/type/fr/1/avis/2
